q_id,lo_id,difficulty,irt_a,irt_b,irt_c,text
Q0336,LO30,Easy,1.237,-1.44,0.09,Stem for LO30 (Easy) #336
Q0337,LO16,Medium,1.478,-0.142,0.195,Stem for LO16 (Medium) #337
Q0338,LO04,Medium,1.013,-0.035,0.216,Stem for LO04 (Medium) #338
Q0339,LO03,Medium,0.54,-0.207,0.189,Stem for LO03 (Medium) #339
Q0340,LO06,Medium,1.201,0.449,0.201,Stem for LO06 (Medium) #340
Q0341,LO29,Hard,1.212,0.336,0.158,Stem for LO29 (Hard) #341
Q0342,LO11,Medium,0.867,-0.073,0.167,Stem for LO11 (Medium) #342
Q0343,LO15,Medium,0.866,0.392,0.178,Stem for LO15 (Medium) #343
Q0344,LO09,Medium,1.173,-0.346,0.07,Stem for LO09 (Medium) #344
Q0345,LO24,Easy,0.894,-1.949,0.186,Stem for LO24 (Easy) #345
Q0346,LO10,Medium,0.5,-0.577,0.215,Stem for LO10 (Medium) #346
Q0347,LO03,Medium,0.777,-0.253,0.139,Stem for LO03 (Medium) #347
Q0348,LO26,Medium,0.916,0.62,0.06,Stem for LO26 (Medium) #348
Q0349,LO26,Easy,1.34,-0.157,0.239,Stem for LO26 (Easy) #349
Q0350,LO12,Easy,0.543,-0.589,0.213,Stem for LO12 (Easy) #350
Q0351,LO16,Medium,0.927,-0.383,0.072,Stem for LO16 (Medium) #351
Q0352,LO28,Hard,1.083,1.398,0.235,Stem for LO28 (Hard) #352
Q0353,LO19,Hard,1.171,0.611,0.092,Stem for LO19 (Hard) #353
Q0354,LO23,Medium,0.887,-0.183,0.24,Stem for LO23 (Medium) #354
Q0355,LO25,Hard,0.839,0.839,0.238,Stem for LO25 (Hard) #355
Q0356,LO20,Medium,1.027,0.398,0.134,Stem for LO20 (Medium) #356
Q0357,LO29,Easy,0.5,-1.504,0.217,Stem for LO29 (Easy) #357
Q0358,LO11,Easy,0.789,-1.31,0.083,Stem for LO11 (Easy) #358
Q0359,LO05,Medium,1.199,0.006,0.232,Stem for LO05 (Medium) #359
Q0360,LO14,Hard,1.175,0.637,0.176,Stem for LO14 (Hard) #360
Q0361,LO05,Medium,1.064,0.305,0.053,Stem for LO05 (Medium) #361
Q0362,LO02,Medium,1.065,-0.014,0.052,Stem for LO02 (Medium) #362
Q0363,LO29,Medium,1.032,0.339,0.118,Stem for LO29 (Medium) #363
Q0364,LO25,Medium,0.999,0.326,0.085,Stem for LO25 (Medium) #364
Q0365,LO08,Medium,0.771,0.436,0.15,Stem for LO08 (Medium) #365
Q0366,LO04,Hard,0.836,1.493,0.055,Stem for LO04 (Hard) #366
Q0367,LO20,Easy,1.303,-0.806,0.174,Stem for LO20 (Easy) #367
Q0368,LO19,Medium,1.108,0.362,0.129,Stem for LO19 (Medium) #368
Q0369,LO21,Easy,1.512,-0.914,0.249,Stem for LO21 (Easy) #369
Q0370,LO12,Medium,1.003,0.574,0.159,Stem for LO12 (Medium) #370
Q0371,LO01,Medium,0.935,0.713,0.074,Stem for LO01 (Medium) #371
Q0372,LO05,Easy,0.5,-0.243,0.089,Stem for LO05 (Easy) #372
Q0373,LO28,Easy,0.889,-0.567,0.083,Stem for LO28 (Easy) #373
Q0374,LO07,Medium,1.073,0.058,0.181,Stem for LO07 (Medium) #374
Q0375,LO14,Easy,0.739,-1.346,0.068,Stem for LO14 (Easy) #375
Q0376,LO12,Hard,1.144,1.163,0.183,Stem for LO12 (Hard) #376
Q0377,LO13,Medium,0.986,-0.195,0.079,Stem for LO13 (Medium) #377
Q0378,LO14,Easy,1.15,-1.672,0.227,Stem for LO14 (Easy) #378
Q0379,LO19,Hard,0.5,1.156,0.104,Stem for LO19 (Hard) #379
Q0380,LO05,Easy,1.431,-0.404,0.23,Stem for LO05 (Easy) #380
Q0381,LO15,Hard,1.398,1.673,0.236,Stem for LO15 (Hard) #381
Q0382,LO28,Medium,1.132,-0.724,0.108,Stem for LO28 (Medium) #382
Q0383,LO18,Easy,1.192,-0.411,0.228,Stem for LO18 (Easy) #383
Q0384,LO17,Medium,0.755,-0.386,0.092,Stem for LO17 (Medium) #384
Q0385,LO19,Hard,0.703,1.387,0.202,Stem for LO19 (Hard) #385
Q0386,LO30,Hard,1.298,1.033,0.196,Stem for LO30 (Hard) #386
Q0387,LO18,Medium,1.187,-0.333,0.249,Stem for LO18 (Medium) #387
Q0388,LO06,Hard,0.518,0.671,0.235,Stem for LO06 (Hard) #388
Q0389,LO13,Medium,0.5,0.415,0.095,Stem for LO13 (Medium) #389
Q0390,LO10,Medium,1.061,0.472,0.148,Stem for LO10 (Medium) #390
Q0391,LO26,Hard,0.941,1.331,0.165,Stem for LO26 (Hard) #391
Q0392,LO12,Medium,0.819,-0.157,0.144,Stem for LO12 (Medium) #392
Q0393,LO15,Medium,0.998,0.372,0.214,Stem for LO15 (Medium) #393
Q0394,LO21,Medium,0.795,0.615,0.081,Stem for LO21 (Medium) #394
Q0395,LO23,Medium,0.953,0.541,0.098,Stem for LO23 (Medium) #395
Q0396,LO23,Easy,1.027,-1.394,0.126,Stem for LO23 (Easy) #396
Q0397,LO21,Hard,1.342,1.483,0.056,Stem for LO21 (Hard) #397
Q0398,LO29,Hard,0.824,1.235,0.128,Stem for LO29 (Hard) #398
Q0399,LO12,Hard,0.713,1.579,0.228,Stem for LO12 (Hard) #399
Q0400,LO10,Easy,1.087,-0.043,0.099,Stem for LO10 (Easy) #400
Q0401,LO07,Easy,1.049,-0.485,0.095,Stem for LO07 (Easy) #401
Q0402,LO10,Hard,1.08,0.62,0.152,Stem for LO10 (Hard) #402
Q0403,LO16,Hard,0.698,0.72,0.084,Stem for LO16 (Hard) #403
Q0404,LO08,Medium,1.036,-0.16,0.229,Stem for LO08 (Medium) #404
Q0405,LO23,Easy,0.803,-0.724,0.117,Stem for LO23 (Easy) #405
Q0406,LO17,Medium,0.928,0.146,0.191,Stem for LO17 (Medium) #406
Q0407,LO09,Medium,0.5,0.182,0.085,Stem for LO09 (Medium) #407
Q0408,LO07,Medium,0.793,-0.594,0.087,Stem for LO07 (Medium) #408
Q0409,LO23,Medium,0.928,0.515,0.195,Stem for LO23 (Medium) #409
Q0410,LO16,Easy,0.981,-1.146,0.224,Stem for LO16 (Easy) #410
Q0411,LO26,Medium,1.149,0.058,0.181,Stem for LO26 (Medium) #411
Q0412,LO23,Easy,0.666,-0.666,0.239,Stem for LO23 (Easy) #412
Q0413,LO28,Medium,0.947,0.16,0.248,Stem for LO28 (Medium) #413
Q0414,LO09,Medium,0.985,0.283,0.201,Stem for LO09 (Medium) #414
Q0415,LO05,Medium,0.958,0.027,0.102,Stem for LO05 (Medium) #415
Q0416,LO16,Easy,0.674,-0.93,0.12,Stem for LO16 (Easy) #416
Q0417,LO05,Easy,1.054,-1.234,0.158,Stem for LO05 (Easy) #417
Q0418,LO18,Medium,1.552,-0.506,0.198,Stem for LO18 (Medium) #418
Q0419,LO29,Hard,1.518,0.815,0.175,Stem for LO29 (Hard) #419
Q0420,LO26,Medium,0.929,0.983,0.148,Stem for LO26 (Medium) #420
Q0421,LO11,Easy,1.194,-1.333,0.099,Stem for LO11 (Easy) #421
Q0422,LO20,Medium,1.314,-0.188,0.059,Stem for LO20 (Medium) #422
Q0423,LO10,Hard,0.684,1.157,0.056,Stem for LO10 (Hard) #423
Q0424,LO15,Easy,1.324,-1.479,0.235,Stem for LO15 (Easy) #424
Q0425,LO17,Easy,1.225,-0.651,0.241,Stem for LO17 (Easy) #425
Q0426,LO30,Medium,1.267,-0.217,0.213,Stem for LO30 (Medium) #426
Q0427,LO30,Medium,1.526,0.33,0.143,Stem for LO30 (Medium) #427
Q0428,LO07,Medium,0.927,-0.066,0.104,Stem for LO07 (Medium) #428
Q0429,LO25,Medium,1.167,-0.186,0.137,Stem for LO25 (Medium) #429
Q0430,LO17,Easy,0.802,-0.8,0.097,Stem for LO17 (Easy) #430
Q0431,LO14,Easy,1.028,-0.996,0.126,Stem for LO14 (Easy) #431
Q0432,LO09,Hard,1.444,0.957,0.238,Stem for LO09 (Hard) #432
Q0433,LO13,Medium,1.33,0.27,0.133,Stem for LO13 (Medium) #433
Q0434,LO21,Medium,0.807,-0.104,0.075,Stem for LO21 (Medium) #434
Q0435,LO16,Medium,0.705,-0.342,0.057,Stem for LO16 (Medium) #435
Q0436,LO23,Medium,1.083,-0.55,0.093,Stem for LO23 (Medium) #436
Q0437,LO19,Easy,0.874,-1.214,0.05,Stem for LO19 (Easy) #437
Q0438,LO04,Easy,1.234,-0.699,0.16,Stem for LO04 (Easy) #438
Q0439,LO05,Easy,1.09,-0.73,0.072,Stem for LO05 (Easy) #439
Q0440,LO22,Easy,1.553,-0.23,0.172,Stem for LO22 (Easy) #440
Q0441,LO04,Hard,0.725,1.392,0.091,Stem for LO04 (Hard) #441
Q0442,LO27,Medium,0.968,0.222,0.08,Stem for LO27 (Medium) #442
Q0443,LO19,Hard,1.023,0.933,0.244,Stem for LO19 (Hard) #443
Q0444,LO18,Hard,0.801,0.582,0.08,Stem for LO18 (Hard) #444
Q0445,LO02,Medium,1.236,0.39,0.081,Stem for LO02 (Medium) #445
Q0446,LO25,Hard,1.073,0.671,0.25,Stem for LO25 (Hard) #446
Q0447,LO08,Easy,1.038,-1.136,0.062,Stem for LO08 (Easy) #447
Q0448,LO06,Medium,0.765,1.224,0.189,Stem for LO06 (Medium) #448
Q0449,LO18,Medium,1.153,0.612,0.226,Stem for LO18 (Medium) #449
Q0450,LO28,Medium,0.797,-0.429,0.099,Stem for LO28 (Medium) #450
Q0451,LO21,Easy,0.5,-1.529,0.213,Stem for LO21 (Easy) #451
Q0452,LO30,Easy,1.092,-0.642,0.21,Stem for LO30 (Easy) #452
Q0453,LO06,Hard,0.999,1.121,0.205,Stem for LO06 (Hard) #453
Q0454,LO06,Hard,0.9,0.673,0.081,Stem for LO06 (Hard) #454
Q0455,LO05,Easy,0.801,-1.265,0.07,Stem for LO05 (Easy) #455
Q0456,LO23,Easy,0.741,-0.677,0.107,Stem for LO23 (Easy) #456
Q0457,LO18,Medium,1.306,-0.215,0.18,Stem for LO18 (Medium) #457
Q0458,LO08,Hard,1.006,0.52,0.181,Stem for LO08 (Hard) #458
Q0459,LO04,Medium,1.566,-0.0,0.173,Stem for LO04 (Medium) #459
Q0460,LO25,Easy,1.473,-0.268,0.098,Stem for LO25 (Easy) #460
Q0461,LO09,Easy,0.783,-0.91,0.172,Stem for LO09 (Easy) #461
Q0462,LO19,Hard,1.27,1.32,0.163,Stem for LO19 (Hard) #462
Q0463,LO24,Medium,0.907,-0.298,0.246,Stem for LO24 (Medium) #463
Q0464,LO23,Hard,0.773,-0.096,0.199,Stem for LO23 (Hard) #464
Q0465,LO03,Easy,0.88,-1.3,0.072,Stem for LO03 (Easy) #465
Q0466,LO10,Medium,0.912,-0.053,0.202,Stem for LO10 (Medium) #466
Q0467,LO03,Medium,1.127,0.29,0.24,Stem for LO03 (Medium) #467
Q0468,LO08,Medium,0.912,-1.006,0.145,Stem for LO08 (Medium) #468
Q0469,LO03,Medium,1.159,0.046,0.103,Stem for LO03 (Medium) #469
Q0470,LO26,Medium,0.992,0.122,0.063,Stem for LO26 (Medium) #470
Q0471,LO26,Easy,0.52,-0.436,0.191,Stem for LO26 (Easy) #471
Q0472,LO22,Easy,1.308,-1.021,0.126,Stem for LO22 (Easy) #472
Q0473,LO19,Hard,1.036,1.127,0.2,Stem for LO19 (Hard) #473
Q0474,LO07,Medium,0.962,-0.244,0.1,Stem for LO07 (Medium) #474
Q0475,LO30,Hard,1.464,0.922,0.207,Stem for LO30 (Hard) #475
Q0476,LO19,Medium,1.427,0.084,0.093,Stem for LO19 (Medium) #476
Q0477,LO19,Easy,1.415,-0.744,0.099,Stem for LO19 (Easy) #477
Q0478,LO05,Medium,0.854,-0.307,0.086,Stem for LO05 (Medium) #478
Q0479,LO27,Medium,1.246,-0.134,0.243,Stem for LO27 (Medium) #479
Q0480,LO03,Medium,0.536,-0.106,0.117,Stem for LO03 (Medium) #480
Q0481,LO25,Medium,1.318,-0.108,0.094,Stem for LO25 (Medium) #481
Q0482,LO07,Medium,0.874,0.047,0.113,Stem for LO07 (Medium) #482
Q0483,LO04,Easy,0.811,-0.577,0.234,Stem for LO04 (Easy) #483
Q0484,LO12,Hard,0.5,0.51,0.143,Stem for LO12 (Hard) #484
Q0485,LO27,Easy,0.771,-1.068,0.102,Stem for LO27 (Easy) #485
Q0486,LO05,Hard,0.593,0.664,0.202,Stem for LO05 (Hard) #486
Q0487,LO06,Medium,1.172,-0.492,0.179,Stem for LO06 (Medium) #487
Q0488,LO14,Hard,1.042,0.962,0.192,Stem for LO14 (Hard) #488
Q0489,LO06,Medium,1.378,-0.048,0.082,Stem for LO06 (Medium) #489
Q0490,LO23,Easy,0.888,-0.806,0.116,Stem for LO23 (Easy) #490
Q0491,LO21,Medium,1.427,0.398,0.089,Stem for LO21 (Medium) #491
Q0492,LO09,Easy,0.865,-1.455,0.135,Stem for LO09 (Easy) #492
Q0493,LO17,Hard,0.798,0.874,0.194,Stem for LO17 (Hard) #493
Q0494,LO16,Hard,1.051,0.884,0.125,Stem for LO16 (Hard) #494
Q0495,LO23,Medium,1.131,0.831,0.063,Stem for LO23 (Medium) #495
Q0496,LO09,Medium,0.529,0.308,0.222,Stem for LO09 (Medium) #496
Q0497,LO25,Easy,0.997,-1.69,0.121,Stem for LO25 (Easy) #497
Q0498,LO25,Easy,0.667,-0.908,0.061,Stem for LO25 (Easy) #498
Q0499,LO04,Hard,1.222,0.535,0.243,Stem for LO04 (Hard) #499
Q0500,LO29,Medium,1.371,-0.266,0.069,Stem for LO29 (Medium) #500
Q0501,LO05,Easy,1.548,-1.454,0.247,Stem for LO05 (Easy) #501
Q0502,LO20,Medium,1.177,-0.406,0.058,Stem for LO20 (Medium) #502
Q0503,LO21,Hard,1.316,0.972,0.151,Stem for LO21 (Hard) #503
Q0504,LO19,Easy,0.612,-1.325,0.062,Stem for LO19 (Easy) #504
Q0505,LO29,Easy,1.485,-0.688,0.079,Stem for LO29 (Easy) #505
Q0506,LO18,Easy,0.954,-1.33,0.19,Stem for LO18 (Easy) #506
Q0507,LO09,Medium,1.056,0.275,0.069,Stem for LO09 (Medium) #507
Q0508,LO17,Hard,0.987,1.165,0.233,Stem for LO17 (Hard) #508
Q0509,LO05,Medium,1.201,-0.268,0.051,Stem for LO05 (Medium) #509
Q0510,LO08,Easy,0.663,-0.494,0.19,Stem for LO08 (Easy) #510
Q0511,LO02,Medium,1.592,-0.076,0.2,Stem for LO02 (Medium) #511
Q0512,LO08,Easy,1.077,-1.159,0.105,Stem for LO08 (Easy) #512
Q0513,LO11,Hard,0.966,1.711,0.078,Stem for LO11 (Hard) #513
Q0514,LO24,Medium,1.126,-0.054,0.147,Stem for LO24 (Medium) #514
Q0515,LO25,Medium,1.802,-0.105,0.07,Stem for LO25 (Medium) #515
Q0516,LO16,Easy,1.164,-0.778,0.121,Stem for LO16 (Easy) #516
Q0517,LO05,Medium,1.102,-0.35,0.234,Stem for LO05 (Medium) #517
Q0518,LO24,Easy,1.319,-0.725,0.21,Stem for LO24 (Easy) #518
Q0519,LO09,Hard,1.233,0.295,0.161,Stem for LO09 (Hard) #519
Q0520,LO13,Medium,1.114,-0.395,0.07,Stem for LO13 (Medium) #520
Q0521,LO09,Medium,1.169,0.276,0.066,Stem for LO09 (Medium) #521
Q0522,LO05,Easy,0.893,-1.545,0.096,Stem for LO05 (Easy) #522
Q0523,LO21,Easy,1.026,-1.472,0.078,Stem for LO21 (Easy) #523
Q0524,LO29,Medium,0.938,0.41,0.191,Stem for LO29 (Medium) #524
Q0525,LO29,Hard,1.349,0.878,0.115,Stem for LO29 (Hard) #525
Q0526,LO29,Medium,1.144,0.128,0.069,Stem for LO29 (Medium) #526
Q0527,LO04,Easy,1.012,-1.025,0.134,Stem for LO04 (Easy) #527
Q0528,LO02,Medium,1.14,-0.527,0.166,Stem for LO02 (Medium) #528
Q0529,LO03,Medium,1.301,0.571,0.201,Stem for LO03 (Medium) #529
Q0530,LO29,Medium,1.077,-0.237,0.114,Stem for LO29 (Medium) #530
Q0531,LO15,Easy,1.185,-1.581,0.055,Stem for LO15 (Easy) #531
Q0532,LO15,Easy,1.261,-1.194,0.159,Stem for LO15 (Easy) #532
Q0533,LO18,Medium,1.222,0.364,0.197,Stem for LO18 (Medium) #533
Q0534,LO27,Easy,1.078,-0.897,0.137,Stem for LO27 (Easy) #534
Q0535,LO04,Medium,0.747,-0.54,0.219,Stem for LO04 (Medium) #535
Q0536,LO28,Hard,0.987,0.438,0.239,Stem for LO28 (Hard) #536
Q0537,LO13,Easy,1.103,-1.259,0.123,Stem for LO13 (Easy) #537
Q0538,LO06,Medium,1.032,-0.437,0.154,Stem for LO06 (Medium) #538
Q0539,LO11,Medium,0.853,0.158,0.071,Stem for LO11 (Medium) #539
Q0540,LO21,Medium,0.754,0.433,0.205,Stem for LO21 (Medium) #540
Q0541,LO16,Medium,0.887,-0.767,0.058,Stem for LO16 (Medium) #541
Q0542,LO01,Medium,0.77,-0.16,0.146,Stem for LO01 (Medium) #542
Q0543,LO10,Medium,0.833,0.522,0.119,Stem for LO10 (Medium) #543
Q0544,LO09,Medium,1.322,-0.162,0.189,Stem for LO09 (Medium) #544
Q0545,LO18,Medium,1.083,-0.198,0.229,Stem for LO18 (Medium) #545
Q0546,LO16,Hard,1.133,0.976,0.135,Stem for LO16 (Hard) #546
Q0547,LO02,Easy,1.165,-0.175,0.241,Stem for LO02 (Easy) #547
Q0548,LO01,Hard,1.155,1.194,0.091,Stem for LO01 (Hard) #548
Q0549,LO09,Medium,0.867,-0.202,0.138,Stem for LO09 (Medium) #549
Q0550,LO05,Easy,1.326,-0.655,0.056,Stem for LO05 (Easy) #550
Q0551,LO09,Medium,1.341,0.31,0.072,Stem for LO09 (Medium) #551
Q0552,LO03,Medium,1.234,0.364,0.155,Stem for LO03 (Medium) #552
Q0553,LO21,Hard,1.019,0.73,0.153,Stem for LO21 (Hard) #553
Q0554,LO12,Medium,0.5,-0.159,0.077,Stem for LO12 (Medium) #554
Q0555,LO08,Medium,0.926,0.195,0.096,Stem for LO08 (Medium) #555
Q0556,LO14,Medium,1.229,0.675,0.222,Stem for LO14 (Medium) #556
Q0557,LO19,Medium,0.93,0.103,0.081,Stem for LO19 (Medium) #557
Q0558,LO11,Easy,1.019,-0.832,0.214,Stem for LO11 (Easy) #558
Q0559,LO16,Medium,0.896,-1.082,0.1,Stem for LO16 (Medium) #559
Q0560,LO23,Medium,0.694,0.066,0.051,Stem for LO23 (Medium) #560
Q0561,LO03,Medium,1.065,-0.371,0.058,Stem for LO03 (Medium) #561
Q0562,LO27,Hard,0.915,1.121,0.201,Stem for LO27 (Hard) #562
Q0563,LO11,Medium,0.539,-0.591,0.162,Stem for LO11 (Medium) #563
Q0564,LO20,Easy,1.188,-1.112,0.238,Stem for LO20 (Easy) #564
Q0565,LO01,Hard,1.068,1.13,0.14,Stem for LO01 (Hard) #565
Q0566,LO15,Easy,1.128,-1.009,0.209,Stem for LO15 (Easy) #566
Q0567,LO24,Medium,0.847,-0.429,0.243,Stem for LO24 (Medium) #567
Q0568,LO25,Medium,1.175,0.24,0.161,Stem for LO25 (Medium) #568
Q0569,LO14,Medium,0.5,-0.198,0.236,Stem for LO14 (Medium) #569
Q0570,LO09,Medium,1.316,-0.606,0.163,Stem for LO09 (Medium) #570
Q0571,LO17,Medium,1.501,0.197,0.15,Stem for LO17 (Medium) #571
Q0572,LO09,Easy,0.5,-1.809,0.076,Stem for LO09 (Easy) #572
Q0573,LO18,Hard,0.668,1.026,0.128,Stem for LO18 (Hard) #573
Q0574,LO13,Medium,1.369,0.003,0.179,Stem for LO13 (Medium) #574
Q0575,LO26,Medium,0.706,1.126,0.212,Stem for LO26 (Medium) #575
Q0576,LO19,Easy,1.563,-0.683,0.248,Stem for LO19 (Easy) #576
Q0577,LO21,Hard,0.898,1.043,0.172,Stem for LO21 (Hard) #577
Q0578,LO26,Medium,1.03,-0.114,0.224,Stem for LO26 (Medium) #578
Q0579,LO06,Easy,1.014,-0.974,0.136,Stem for LO06 (Easy) #579
Q0580,LO21,Easy,0.874,-0.609,0.06,Stem for LO21 (Easy) #580
Q0581,LO04,Easy,0.526,-0.718,0.191,Stem for LO04 (Easy) #581
Q0582,LO09,Easy,0.746,-0.905,0.111,Stem for LO09 (Easy) #582
Q0583,LO24,Hard,1.232,1.041,0.095,Stem for LO24 (Hard) #583
Q0584,LO05,Medium,1.147,0.826,0.073,Stem for LO05 (Medium) #584
Q0585,LO10,Hard,1.426,1.375,0.119,Stem for LO10 (Hard) #585
Q0586,LO05,Easy,1.165,-1.524,0.235,Stem for LO05 (Easy) #586
Q0587,LO16,Medium,0.933,0.455,0.151,Stem for LO16 (Medium) #587
Q0588,LO03,Easy,1.292,-0.476,0.222,Stem for LO03 (Easy) #588
Q0589,LO28,Medium,1.22,0.106,0.202,Stem for LO28 (Medium) #589
Q0590,LO30,Medium,0.713,-0.113,0.127,Stem for LO30 (Medium) #590
Q0591,LO05,Hard,0.987,1.401,0.065,Stem for LO05 (Hard) #591
Q0592,LO02,Medium,0.927,0.529,0.233,Stem for LO02 (Medium) #592
Q0593,LO23,Hard,1.048,1.659,0.206,Stem for LO23 (Hard) #593
Q0594,LO12,Hard,0.689,1.204,0.067,Stem for LO12 (Hard) #594
Q0595,LO09,Easy,1.323,-0.857,0.138,Stem for LO09 (Easy) #595
Q0596,LO21,Easy,1.004,-0.737,0.237,Stem for LO21 (Easy) #596
Q0597,LO09,Easy,0.906,-1.634,0.09,Stem for LO09 (Easy) #597
Q0598,LO08,Medium,0.603,-0.616,0.228,Stem for LO08 (Medium) #598
Q0599,LO07,Medium,0.944,0.523,0.082,Stem for LO07 (Medium) #599
Q0600,LO26,Hard,1.281,0.866,0.14,Stem for LO26 (Hard) #600
